METHOD;ITEMCOUNT;MEAN (us);P95 (us);GEN 0;GEN 1;GEN 2;ALLOCATED (KB)
LargeWcfNetTcp;1000;63496.8;65131.4;1437.5;750;312.5;15259.22
LargeWcfMsgPackCli;1000;226764.2;228210;14312.5;2062.5;812.5;63616.09
LargeWebApiJsonNetHttpClient;1000;146788.7;150342.6;6062.5;1000;312.5;28004.73
LargeWebApiJsonNetHttpClientAsync;1000;148252.3;150701.1;6125;1000;312.5;28005.47
LargeWebApiJsonNetHttpWebRequest;1000;137693.6;140988.9;6187.5;1000;250;24196.63
LargeWebApiMessagePackHttpClient;1000;76918.2;79686.3;5500;1187.5;375;26612.74
LargeWebApiMessagePackHttpClientAsync;1000;79844.3;82522;5500;1187.5;375;26607.16
LargeWebApiMessagePackHttpWebRequest;1000;71342.8;73000.7;5437.5;1187.5;375;25423.91
LargeWebApiMsgPackCliHttpClient;1000;231637.3;233815.8;27187.5;1875;250;87423.5
LargeWebApiMsgPackCliHttpClientAsync;1000;235545;237502.2;26812.5;1750;250;87424.05
LargeWebApiMsgPackCliHttpWebRequest;1000;273161.6;274337.6;21375;1625;250;68248.17
LargeWebApiXmlHttpClient;1000;138851.2;140807.8;6500;1375;500;32739.53
LargeWebApiXmlHttpClientAsync;1000;137728.4;139416.2;6437.5;1250;500;32737.39
LargeWebApiXmlHttpWebRequest;1000;117583.8;119814.8;6312.5;1125;312.5;27616.55
LargeWebApiUtf8JsonHttpClientAsync;1000;108526.5;110023.5;5937.5;1250;625;36588.36
LargeWebApiUtf8JsonHttpWebRequest;1000;99423.4;101303.8;5875;1250;625;34853.14
LargeWebApiZeroFormatterHttpClient;1000;93279.3;95066;6000;1875;625;34568.77
LargeWebApiZeroFormatterHttpClientAsync;1000;93082.5;96336.2;6125;1812.5;625;34556.73
LargeWebApiZeroFormatterHttpWebRequest;1000;83440.5;87326.7;6062.5;1750;625;35920.83
LargeAspNetCoreJsonNetHttpClient;1000;190051.4;193029.4;4375;1187.5;312.5;29453.69
LargeAspNetCoreJsonNetHttpClientAsync;1000;191288.1;194703;4312.5;1000;312.5;29435.33
LargeAspNetCoreJsonNetHttpWebRequest;1000;172396.6;174307.9;4000;750;62.5;22879.07
LargeAspNetCoreMessagePackHttpClient;1000;74707.4;76628.3;2937.5;1062.5;375;24513.18
LargeAspNetCoreMessagePackHttpClientAsync;1000;75239.7;77764.9;3062.5;875;375;24503.66
LargeAspNetCoreMessagePackHttpWebRequest;1000;64765.4;67297.2;2750;1000;312.5;22184.38
LargeAspNetCoreMsgPackCliHttpClient;1000;224174.1;226700.3;16000;1875;500;84368.61
LargeAspNetCoreMsgPackCliHttpClientAsync;1000;226491.1;229350.5;15625;1562.5;250;84367.02
LargeAspNetCoreMsgPackCliHttpWebRequest;1000;259125.8;260689.1;12437.5;1625;250;66232.65
LargeAspNetCoreXmlHttpClient;1000;187939.3;191380.4;4062.5;1062.5;375;29287.81
LargeAspNetCoreXmlHttpClientAsync;1000;186831.9;191377;3750;1000;375;29274.29
LargeAspNetCoreXmlHttpWebRequest;1000;163545;166214.4;3312.5;750;125;21599.57
LargeAspNetCoreUtf8JsonHttpClient;1000;112656.4;114328.7;3750;1500;875;35651.9
LargeAspNetCoreUtf8JsonHttpClientAsync;1000;113442.3;116928;3750;1500;937.5;35638.04
LargeAspNetCoreUtf8JsonHttpWebRequest;1000;91813.6;93977.9;3187.5;1250;625;31173.77
LargeAspNetCoreZeroFormatterHttpClient;1000;89996.3;92385.9;3375;1562.5;625;31020.04
LargeAspNetCoreZeroFormatterHttpClientAsync;1000;89334.9;92773.4;3312.5;1562.5;625;31017.05
LargeAspNetCoreZeroFormatterHttpWebRequest;1000;81701;85651.5;3000;1437.5;500;32338.78
