METHOD;ITEMCOUNT;MEAN (us);P95 (us);GEN 0;GEN 1;GEN 2;ALLOCATED (KB)
LargeWebApiZeroFormatterHttpClient;0;1035.9;1074.2;72.2656;7.8125;0;225.52
LargeWebApiZeroFormatterHttpClientAsync;0;1061;1093.3;72.2656;7.8125;0;226.44
LargeWebApiZeroFormatterHttpWebRequest;0;471.1;498.4;38.0859;10.7422;0;128.25
LargeAspNetCoreJsonNetHttpClient;0;635.3;728.3;17.5781;0;0;54.47
LargeAspNetCoreJsonNetHttpClientAsync;0;729.3;861.8;17.5781;0;0;55.96
LargeAspNetCoreJsonNetHttpWebRequest;0;429.4;445.8;14.1602;0;0;43.87
LargeAspNetCoreMessagePackHttpClient;0;515;560.5;12.6953;0;0;39.26
LargeAspNetCoreMessagePackHttpClientAsync;0;521.9;556.4;13.6719;0;0;42.85
LargeAspNetCoreMessagePackHttpWebRequest;0;388;400.9;8.7891;0;0;28.29
LargeAspNetCoreMsgPackCliHttpClient;0;831.8;934.1;77.1484;4.8828;0;241.45
LargeAspNetCoreMsgPackCliHttpClientAsync;0;956.7;1032.6;78.125;1.9531;0;245.13
LargeAspNetCoreMsgPackCliHttpWebRequest;0;501.2;541.4;51.7578;0;0;163.45
LargeAspNetCoreXmlHttpClient;0;749.9;865.8;30.2734;0;0;95.37
LargeAspNetCoreXmlHttpClientAsync;0;935.4;970.6;30.2734;0;0;94.09
LargeAspNetCoreXmlHttpWebRequest;0;509.8;527.5;27.3438;0;0;86.38
LargeAspNetCoreUtf8JsonHttpClient;0;562.7;650.9;11.7188;0;0;36.19
LargeAspNetCoreUtf8JsonHttpClientAsync;0;684.5;770.1;12.6953;0;0;39.13
LargeAspNetCoreUtf8JsonHttpWebRequest;0;412.5;419.6;7.3242;0;0;23.54
LargeAspNetCoreZeroFormatterHttpClient;0;571.5;615.6;38.0859;0;0;121.21
LargeAspNetCoreZeroFormatterHttpClientAsync;0;584.2;637;38.0859;0;0;120.87
LargeAspNetCoreZeroFormatterHttpWebRequest;0;359.7;389;8.7891;0;0;27.12
SmallWcfText;10;405.3;413.9;10.7422;0;0;33.33
SmallWcfWebXml;10;415.1;423.3;11.7188;0;0;36.86
SmallWcfWebJson;10;557.9;609.4;11.7188;0;0;38.75
SmallWcfBinary;10;400.8;408.5;10.2539;0;0;32.46
SmallWcfNetTcp;10;157.5;161.4;3.1738;0;0;9.92
SmallWcfMsgPackCli;10;952.3;1043;150.3906;7.8125;0;472.75
SmallWebApiJsonNetHttpClient;10;1020.6;1074.3;27.3438;7.8125;0;98.38
SmallWebApiJsonNetHttpClientAsync;10;1000.9;1045.6;27.3438;9.7656;0;98.99
SmallWebApiJsonNetHttpWebRequest;10;427.8;435.6;25.8789;11.2305;0;82.71
SmallWebApiMessagePackHttpClient;10;908.3;940.8;19.5313;6.8359;0;67.41
SmallWebApiMessagePackHttpClientAsync;10;917.1;941.3;21.4844;7.8125;0;70.4
SmallWebApiMessagePackHttpWebRequest;10;499.2;513.9;16.1133;5.8594;0;58.45
SmallWebApiMsgPackCliHttpClient;10;1235.5;1265;93.75;11.7188;0;294.39
SmallWebApiMsgPackCliHttpClientAsync;10;1216.5;1234.6;93.75;11.7188;0;294.71
SmallWebApiMsgPackCliHttpWebRequest;10;573.8;603.8;57.6172;10.7422;0;199.3
SmallWebApiXmlHttpClient;10;1065.3;1107.6;35.1563;5.8594;0;123.97
SmallWebApiXmlHttpClientAsync;10;1048.5;1087.9;37.1094;9.7656;0;125.52
SmallWebApiXmlHttpWebRequest;10;526.8;559.1;30.2734;10.7422;0;107.18
SmallWebApiUtf8JsonHttpClient;10;956;1007.4;17.5781;3.9063;0;67.12
SmallWebApiUtf8JsonHttpClientAsync;10;990.9;1026.6;17.5781;5.8594;0;70.05
SmallWebApiUtf8JsonHttpWebRequest;10;493.1;513.4;16.1133;6.8359;0;58.25
SmallWebApiZeroFormatterHttpClient;10;1078.4;1126.8;72.2656;5.8594;0;240.91
